userId,movieId,tag,timestamp
129003,260,Alec Guinnes,1139559761
125239,318,existentialism,1473793107
64537,541,artificial intelligence,1481718535
10361,608,quirky,1331100908
110119,296,Quentin Tarantino,1173395940
145061,551,halloween,1137778804
21096,475,prison,1246770385
7377,265,magic,1166332010
43201,923,Highly quotable,1553562402
6215,296,midieval,1435633893
56152,47,psychology,1394467906
21096,1013,remade,1245498291
19346,593,dark,1503347088
139991,260,Star Wars,1433883044
21096,318,based on a book,1369992297
51799,39,fashion,1445973934
61694,50,K,1489436185
3648,296,action,1430262903
21096,475,based on a book,1222146696
159927,29,dystopia,1282437442
15204,1022,prince,1555872684
64333,187,setting:library,1216230117
11453,627,murder,1164619858
4976,50,New York City,1382277881
123434,39,very funny!,1166175688
132704,260,action,1562165500
143091,593,psychology,1314981829
20533,296,sophisticated,1565495438
133412,293,Natalie Portman,1280431282
36159,750,cold war,1531698039
35085,296,dark comedy,1262470959
61891,32,time travel,1169931837
78496,741,music,1420924581
160540,6,atmospheric,1280557889
123649,260,space adventure,1447581001
149463,587,romance,1247917607
92636,260,Original classic,1442083934
45687,260,action,1443915641
21655,922,atmospheric,1535567855
120197,150,space program,1241896972
148457,904,just married,1573687961
86921,17,adapted from:book,1462448209
155146,111,loner,1555100959
20723,904,Alfred Hitchcock,1564014722
58205,296,crime,1430516957
156040,380,action,1291057150
113336,260,adventure,1439793744
51799,539,Meg Ryan,1445485278
89090,593,disturbing,1570731651
96795,924,boring,1568461508
160540,940,archery,1156432206
119957,508,Tumey's DVDs,1206264746
90782,260,fantasy,1441361787
6285,969,talky,1171754214
81363,32,complicated,1443347326
145919,588,Robin Williams,1312328583
36060,608,dark comedy,1561270639
30309,912,Film Noir,1245018146
109827,296,Bruce Willis,1283594327
15204,318,feel-good,1555110913
131347,541,artificial intelligence,1558667602
80773,1,toys,1424715324
160540,665,Yugoslavia,1164475531
60446,858,great acting,1368315036
80863,235,Johnny Depp,1153335975
122641,110,faithfulness,1440143261
66999,366,doll,1484924175
99553,318,twist ending,1365188203
84705,47,stereotyped characters,1546272096
155146,215,Vienna,1438633054
6550,70,sheriff,1527452822
11228,500,Robin Williams,1188850625
21655,417,quotable,1439658153
20723,296,pop culture references,1564013816
155146,198,Kathryn Bigelow,1473187855
42367,555,ensemble cast,1372710300
21096,364,lions,1245291445
29996,911,train,1557028144
15204,344,comedy,1555877356
51799,314,selkies,1445402792
156040,551,animation,1291060655
21096,475,police corruption,1246770346
79642,110,drama,1505778228
62199,26,Oliver Parker,1295601318
162267,858,classic,1431366731
38478,920,American Civil War,1248376338
30835,750,war,1251534065
151732,111,Jodie Foster,1410413627
3448,260,fantasy,1492547853
21096,670,India,1244971224
31047,356,sad,1454827550
6038,743,parody,1412619835
124601,34,animals,1137102501
44258,832,It was melodramatic and kind of dumb,1269832633
137106,260,Science Fiction,1431606072
5956,318,prison,1399993353
21096,508,queer,1246617092
118152,318,twist ending,1568902657
57061,296,good dialogue,1498628339
68096,608,strong female,1561870251
66999,442,law enforcement,1485274629
43201,215,talky,1553529148
65888,593,based on book,1272007741
29656,296,acting,1356966571
160540,28,adapted from:book,1248915501
109758,904,Alfred Hitchcock,1245685334
34164,22,thriller,1543029507
5196,924,meditative,1487975342
89591,342,ABBA,1438472700
28633,318,heartwarming,1566031805
110287,260,classic,1436883776
88261,125,Ben Stiller,1355092569
96269,318,Tim Robbins,1508817901
64333,234,sexuality:BDSM,1188695481
19346,593,mental illness,1503347054
125773,296,crime,1420943065
15204,339,mistaken identity,1557429125
29996,898,swimming pool,1544286296
112267,47,David Fincher,1426700179
6550,407,new hampshire,1528611956
31047,318,good story,1454853118
150127,247,surrealism,1259965801
7605,32,time travel,1330729066
92018,805,rape,1507574804
47969,196,creature feature,1427887554
56152,858,Mafia,1372449088
115512,296,multiple storylines,1308841448
27598,260,universe,1450947722
116319,539,Meg Ryan,1513089920
23515,50,twist ending,1436080961
92235,47,religion,1449617172
93801,76,so bad it's good,1388995413
115688,260,Cult,1432226797
151095,110,Oscar (Best Picture),1424139922
159045,733,biological warfare,1254184737
135920,778,Ewan McGregor,1241435295
110243,193,cult film,1221856509
1652,866,atmospheric,1503370740
44540,50,mindfuck,1442753516
142854,954,James Stewart,1322762016
113642,935,Triplets,1360542393
107562,904,claustrophobic,1241291722
84478,527,holocaust,1489920543
79880,720,Aardman,1241708213
19308,598,russian,1545070756
145061,778,heroin,1137778047
53708,260,sword fight,1271870183
30309,50,Benicio Del Toro,1245015871
45493,858,crime,1446510588
56733,589,future,1442130208
6550,190,independent film,1528591729
151537,356,great acting,1438718070
141166,141,Gene Hackman,1181170913
146070,741,great anime,1326640044
36159,296,original plot,1500634268
40265,21,author:Elmore Leonard,1270349241
119483,357,Comedy,1462048517
115820,968,bad stereotypes of women,1241130106
100702,541,cyberpunk,1293753002
31047,798,disaster film,1527803429
15204,353,stylized,1555801452
125503,527,thought-provoking,1570958008
60971,923,National Film Registry,1533429465
4429,899,happy,1565058436
31047,798,ok,1527803519
90965,110,action,1139711045
21096,780,apocalypse,1245392878
68096,47,violence,1561915084
16515,3,old,1143424860
141166,247,Peter Jackson,1181165123
20346,593,serial killer,1373391700
6550,469,santiago,1528592081
70115,47,Gwyneth Paltrow,1529589101
57061,318,moral ambiguity,1499789484
60971,899,National Film Registry,1533430014
101874,480,dinosaurs,1566254233
97528,586,childhood classics,1520194278
6550,357,lone wolf,1528513434
6285,481,atmospheric,1172390546
149463,912,black and white,1253079749
6550,466,swordplay,1527452825
109146,39,high school,1289860680
52332,441,1970s,1528813838
30779,912,Oscar (Best Picture),1241116776
48627,17,fast,1337218735
86462,485,breaking the fourth wall,1519458669
57147,296,stylized,1556492353
41275,153,Tommy Lee Jones,1320784914
121487,924,classic,1265095521
80370,924,artificial intelligence,1541565947
31047,380,violence,1459667070
6550,166,crystal meth,1527450886
119373,17,costume drama,1537666517
134842,994,ian holm,1139881618
129199,733,Michael Bay,1496586167
57336,50,twist ending,1273869680
31394,529,boring,1417904713
31047,198,Director: Kathryn Bigelow,1498657571
118354,364,talking animals,1368914565
5819,196,alien,1567974749
41275,858,Oscar (Best Actor),1320783566
125054,761,1930's,1434941474
118540,10,007,1139672971
106681,2,Robin Williams,1275477534
41608,29,steampunk,1531316405
133131,94,atmospheric,1313431679
123434,318,prison,1161875090
41275,593,mental illness,1320783034
131606,314,Folksy,1528591973
80863,17,literature,1148655606
160540,994,failing business,1263410726
99801,527,historical,1530106012
6550,656,chauffeur,1527452062
6285,951,MEMBERS OF THE PRESS,1173212844
122641,293,Natalie Portman,1440154859
156433,50,suspense,1447098596
58959,11,great performances,1315881322
87959,111,psychology,1481311250
6550,479,escape,1527452064
125054,13,sled dogs,1433273513
6550,154,fantasy,1528592816
97513,908,urbane,1319349322
104708,441,Criterion,1422807648
35497,750,black comedy,1419912101
160972,541,Rapist,1317443225
129403,296,nonlinear,1436785462
110243,522,skinheads,1268692614
153190,111,Classic,1143045300
101874,356,sentimental,1488248153
52391,786,Arnold Schwarzenegger,1470027567
129864,741,techno-evolution,1513661471
94239,497,Kate Beckinsale,1548454998
111075,520,parody,1245071886
32091,260,Star Wars,1442329498
6550,879,dead body,1528611936
53267,551,music,1371227849
129538,32,time travel,1457901872
71054,364,soundtrack,1488037635
62925,150,space,1290968316
129199,47,biblical,1498944528
96795,318,excellent script,1484415185
6550,850,bicycle taxi,1528558965
32204,318,great acting,1557375905
25791,47,overrated,1307642316
131294,296,Quentin Tarantino,1197053924
1881,50,heist,1298619136
36535,539,slow and predictable plot,1171941441
67499,778,dark comedy,1531748025
96272,318,great ending,1496104479
62707,356,bechdel test:fail,1425971480
56391,778,violent,1297055598
22091,36,death penalty,1139445185
62199,574,David O. Russell,1238733212
30178,919,scarecrow,1140448875
86031,296,Quentin Tarantino,1263457953
78897,152,stylized,1447516797
28826,485,fun,1321157490
73449,356,classic,1430438776
79438,260,spiriritual,1436737059
86505,912,imdb top 250,1343318248
131347,923,Spanish-American war,1546811716
41275,480,Oscar (Best Effects - Visual Effects),1320782014
60024,474,John Malkovich,1334802223
48363,356,bittersweet,1188333000
154531,318,classic,1307588089
118383,485,campy,1426122070
131911,39,teen movie,1368951336
6550,54,sport,1527451950
113690,780,predictable,1314639887
62199,766,Nudity (Topless - Notable),1261610719
57061,260,sword fight,1498679725
14116,89,wrist watch,1309883652
40523,593,cannibalism,1431936415
131347,185,internet,1183878510
79880,293,humorous,1241549577
150805,260,"sf,science fiction",1433174961
3225,500,divorce,1206902178
94480,47,powerful ending,1566504732
116266,260,fantastic,1442141219
116262,589,arnold,1367432713
40932,318,great ending,1416774508
159095,318,Stephen King,1315296006
131347,750,based on a book,1549680372
43201,215,young people,1553529248
149463,34,pigs,1249829649
31047,750,cold war,1455148665
104708,509,Palme d'Or,1419155497
35058,407,"6,5-filmaffinity",1416563546
148457,906,London fog,1510962563
131347,89,Christopher Walken,1557780037
1309,6,realistic action,1557280456
31047,318,awesome,1526491890
156433,110,war,1443699169
13788,160,action,1452270552
142476,390,exploitation,1306992565
36538,260,science fantasy,1444767769
93305,524,AFI 100 (Cheers),1177016329
99605,260,space,1476318798
101530,508,tom hanks,1185231778
108414,260,Star Wars,1441838322
31047,89,time,1460101877
64333,293,disambiguation:Leon/The Professional (1994) & The Professional (1981),1232048332
44572,595,animation,1294130887
123781,50,Kevin Spacey,1393019956
17200,34,talking animals,1186185767
7221,923,sound editing,1452015229
49563,904,thriller,1435063145
29996,203,midwest,1525464431
118582,924,meditative,1438539903
137619,480,Oscar (Best Effects - Visual Effects),1566334396
154858,70,so bad it's good,1543403306
6550,390,killing,1527450995
93074,356,history,1424057757
14116,588,magic carpet,1406492790
6550,116,burglary,1528563937
161082,296,assassin,1432909649
149463,163,romance,1248862331
131865,953,Christmas,1453825992
73491,296,Quentin Tarantino,1357652051
97000,356,classic,1520499531
791,1,Owned,1515175493
6550,942,murder,1528592805
120840,260,fantasy,1441986863
154184,480,sci-fi,1343330892
160540,6,Al Pacino,1280557881
105880,260,cult classic,1435990680
105716,97,french,1516576742
155146,296,hit men,1451426640
3394,260,incest,1532247093
6862,724,teen movie,1517082763
6648,750,nuclear war,1442772867
103338,593,great acting,1368570568
77119,750,black comedy,1246534076
80068,260,space,1443914589
105738,924,space,1496792833
89977,955,classic,1511728978
6550,918,straw hat,1528509765
6550,355,best friend,1528513242
129123,780,alien invasion,1263257441
131347,480,genetics,1566013015
84824,469,DVD,1168799621
85399,260,space adventure,1437969347
70092,424,CLV,1421101311
19388,333,funny,1368296014
134916,70,Quentin Tarantino,1558078459
131050,904,classic,1480789071
78897,590,biopic,1447432328
51015,356,emotional,1565055890
44996,380,Jamie Lee Curtis,1407485192
70092,495,DVD-Video,1236613300
105716,150,true story,1516151389
68316,586,childhood classics,1432171450
46562,783,bombast,1378407066
141263,592,Batman kills,1381028183
160540,446,lavish,1364707287
71101,432,lame,1139042077
15204,653,fantasy,1558649771
112587,565,vampires,1378510250
93305,947,AFI 100 (Laughs),1177102466
113299,110,historical,1502301958
154858,29,stylized,1542707841
114215,356,quirky,1456367336
159095,916,zest for life,1315476812
60024,497,Shakespeare,1334158746
31047,485,Writer: Shane Black,1512689102
117789,11,23.03.06,1246389859
13940,161,war,1139199379
30839,480,Steven Spielberg,1441761071
127802,519,Inferior sequel,1475500201
45004,608,crime,1439428079
117749,527,holocaust,1568476786
126013,778,black comedy,1262626176
18453,904,thriller,1566490839
131341,296,multiple storylines,1498456343
35702,173,future,1567369117
6550,381,alcoholic,1528593175
26702,933,Cary Grant,1279996511
74052,541,film noir,1433706787
155724,356,Gary Sinise,1368249166
122929,50,twist ending,1423429346
101979,223,funny,1568377047
149463,2,Kirsten Dunst,1249829552
4429,296,nonlinear,1509235186
9101,471,rewatch,1483057413
51383,318,heartwarming,1492204326
101510,235,Johnny Depp,1167909506
117307,296,multiple storylines,1498315139
56645,318,justice,1241708284
34047,380,striptease,1546037429
151732,32,post-apocalyptic,1562823355
48627,260,dialogue,1337218207
