userId,movieId,rating,timestamp
37438,1020,3.0,1047069348
113448,32,4.0,1271679905
52106,377,4.0,995749037
159710,10,3.0,856352560
45095,296,5.0,834960212
131195,719,3.0,1302615081
159104,457,4.5,1124213693
36203,784,3.0,856993067
60375,296,4.0,848128492
131070,6,4.5,1085413784
86925,376,3.0,860094340
112475,880,1.0,860344475
131574,593,5.0,939633304
54453,252,3.0,974511737
54275,501,5.0,938513226
37744,380,3.5,1188513218
117194,339,3.0,900883130
45268,95,5.0,847284207
93069,32,3.0,847276528
60438,480,2.5,1438814138
38923,910,4.0,1106342384
51227,273,3.0,834564697
80959,736,3.5,1179788435
91027,500,3.0,840157391
90703,919,5.0,965242950
114480,555,2.5,1445912552
62296,357,3.5,1169590355
111531,500,5.0,866813566
101707,424,2.0,1120704122
32087,661,1.0,961355760
82857,62,5.0,857829568
86924,593,3.0,839325120
31563,527,4.0,1417527306
115155,62,4.0,860220381
113505,546,3.0,968205377
61281,908,3.0,1126074510
44266,265,3.0,1008661528
154953,587,4.0,847100036
53777,216,2.0,1147940486
117641,169,2.0,837519231
159384,208,3.0,1271992391
78749,145,3.0,958160234
138850,426,4.0,1289676852
56501,481,2.0,954723565
156625,50,5.0,867207747
129562,593,5.0,1562047140
109665,293,4.0,1508319502
31992,6,4.0,1281641788
49914,2,3.0,848130409
130670,588,2.5,1493858995
79026,628,3.0,891329725
73066,733,3.0,917959567
33680,480,4.0,840010697
15940,260,5.0,941285246
98652,923,4.5,1135712940
106496,235,4.0,856253397
150087,538,4.0,941403420
102780,339,4.0,1225595983
87090,913,5.0,943008828
123073,107,4.0,1208207297
41019,160,2.0,833284339
1049,741,4.0,940185969
648,593,4.5,1485084543
90994,145,4.0,836043845
92233,104,1.5,1192046680
103789,110,5.0,834570295
118925,750,3.0,1473226679
36073,266,4.0,842122443
39208,459,4.0,963507817
161148,590,3.5,1547202146
30124,150,4.0,890094962
125620,231,1.0,1110153883
135669,95,2.0,901567332
76732,236,2.0,888886082
73482,589,4.0,1441463100
124077,737,5.0,865515166
156623,952,4.0,1337193963
119973,23,3.0,835284078
140636,95,2.5,1122991425
30227,316,4.0,1090182286
69424,1020,3.5,1172204206
140775,303,4.0,917465926
17115,144,4.0,1111079661
117010,21,3.0,857672865
108328,299,2.0,1037292613
39957,454,4.0,836290568
130136,504,2.0,940490970
38289,778,5.0,860492237
155818,357,3.0,839986264
100755,6,3.0,995345039
3148,858,3.5,1445908968
81125,10,4.0,1081229003
50934,648,5.0,861710216
34950,24,2.0,1024030957
136287,765,1.0,1154814544
21131,590,3.5,1320504771
53424,585,1.0,836777516
50375,788,4.0,999716174
36542,413,3.5,1107293698
44349,509,4.0,901413931
8627,239,3.0,832761296
33888,318,4.0,1310697002
60289,170,3.5,1519546096
117590,733,4.0,1218958952
108693,592,3.0,840676926
12552,32,4.0,1525722948
107073,239,5.0,966280393
117909,253,3.5,1259790944
155204,1017,1.0,842171458
131049,50,5.0,939034969
14186,910,3.5,1061339069
78180,188,3.0,829400316
136369,21,2.0,838840186
72170,671,4.0,945309278
70887,11,3.0,836118553
160737,500,3.0,1142924893
52974,16,3.0,1363060559
126938,527,5.0,1436946435
98438,246,3.5,1358754576
34119,954,3.0,941213834
78727,105,1.0,942322412
63915,482,4.0,832880473
146044,457,4.5,1092672763
3350,364,4.0,1325225758
126536,79,3.0,1139857675
88815,316,3.5,1272865827
75559,785,2.5,1486878409
85153,141,5.0,946878501
152463,838,0.5,1259531356
129465,1,5.0,1279319480
81951,344,3.0,832928601
149147,357,3.0,1176264837
33643,293,5.0,836111131
76125,480,4.0,1105825245
104942,145,4.5,1225274727
49998,680,5.0,1303170819
42597,457,4.0,1075339109
49333,253,4.0,836462757
156005,802,4.0,1501638198
36291,508,3.0,1187285545
136534,1,4.5,1214534334
161043,413,2.0,837698787
113446,1,5.0,936363143
10919,1,0.5,1545903443
128300,63,1.0,1004110182
106458,694,4.0,1237744273
76792,32,4.5,1347755873
94304,260,3.0,866927491
32148,780,3.0,952870196
53661,41,2.0,956590671
38080,141,2.5,1078088659
114253,805,2.5,1082855155
136874,474,2.0,848470109
112939,58,3.0,860747493
62965,50,4.0,1139006918
130203,551,4.0,1069381570
30499,296,5.0,846483720
140463,515,3.5,1416908617
119702,151,4.5,1100824456
98696,597,5.0,856803837
89983,880,3.0,855948042
52539,1015,4.0,915609318
106537,724,4.0,1449280763
7722,1,5.0,832501134
100716,168,5.0,1139686912
51983,32,4.0,1319376945
135297,653,4.0,966299520
67872,595,3.0,972709494
64094,928,5.0,953567927
110806,111,5.0,832862765
144748,592,4.0,951593118
106626,542,5.0,858326202
66244,898,2.5,1282227678
38270,1015,5.0,976213717
152129,788,3.0,862500815
141326,10,4.0,995486732
75836,628,4.0,1015936148
30852,21,4.0,944967041
140572,899,5.0,945039835
